PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,3/19/23,13:01:03,1,1,Kyle McCoy,mccoyky43,Left,Maryland,Jason Bottari,bottaja43,Right,Albany,Windup,1,Top,0,0,0,Sinker,,BallCalled,,,,0,0,,93.91700216,-1.172352868,3.951345467,1698.633937,128.2116841,10:15,5.813521111,-2.749361174,6.882226054,-23.69629389,9.631186735,-9.985795688,2.761505363,-1.461019946,83.07108019,-4.699733207,0.113648529,0.404374228,,,,,,,,,,,,6.463578578,5.498072735,2.448077252,50,5.710669035,-9.096680378,-136.3834308,-3.526821321,12.12994397,31.01016452,-21.8560325,Maryland,Albany,shi01,NCAA D1,BIG10,b1ea7943-3f5e-47cf-b737-466787b82473,a223f1f0-c677-11ed-96e7-ad3de7252630,94.09344718,5.812014917,-2.752696877,-1.154479357,3.992122359,83.21751912,2.763222304,-1.458320082,-4.671378116,0.157636835,0.404247462,-10.40356091,8.237408823,15.32209228,16.26176062,1638.257015,448.8554392,96.44556011,-0.596581989,0.26424495,0.75780244,,,,,,,,,,,,,,,,,0.997049215,1,,,high,high,104.6355857,-27.72429451,54.43777395,Luke Shliger,shliglu42,Maryland
2,3/19/23,13:01:14,1,2,Kyle McCoy,mccoyky43,Left,Maryland,Jason Bottari,bottaja43,Right,Albany,Windup,1,Top,0,1,0,Sinker,,StrikeCalled,,,,0,0,,94.76458838,-1.287797224,5.222864687,1705.906694,127.329151,10:15,5.752342904,-2.692887988,6.710913889,-24.02182557,9.740266115,-10.36916735,2.104762948,-0.382608906,82.98807321,-5.902170228,0.815916145,0.402730073,,,,,,,,,,,,6.985775331,5.491405123,2.277410406,50,5.635764394,-12.20418075,-137.3305975,-3.849827142,13.30079604,31.26901642,-21.71850871,Maryland,Albany,shi01,NCAA D1,BIG10,b1ea7943-3f5e-47cf-b737-466787b82473,a8bb6f21-c677-11ed-b02b-4797a944012a,94.94625361,5.750755377,-2.696445727,-1.269571482,5.264616914,83.13159941,2.106528134,-0.379912185,-5.872941563,0.860130135,0.402602818,-10.79144216,8.342804753,11.47373611,21.92676581,1671.815837,339.3367865,98.00159899,-0.594274879,0.198918726,0.779274475,,,,,,,,,,,,,,,,,0.934114659,1,,,high,high,70.26590016,-64.1232306,54.60908611,Luke Shliger,shliglu42,Maryland
3,3/19/23,13:01:27,1,3,Kyle McCoy,mccoyky43,Left,Maryland,Jason Bottari,bottaja43,Right,Albany,Windup,1,Top,0,1,1,Sinker,,Foul,,,,0,0,,92.3158317,-1.066344008,2.863568671,1725.484596,125.3951739,10:15,5.409361852,-2.131033997,,-24.26297264,9.492843163,-10.655381,2.382870661,-0.322718501,84.00126619,-5.568702674,0.88123968,0.418163216,,,,,,,,,,,,6.440992074,5.306895508,1.872857519,50,5.292153706,-6.302009849,-134.013397,-3.411544535,11.6630618,30.12737559,-22.56455937,Maryland,Albany,shi01,NCAA D1,BIG10,b1ea7943-3f5e-47cf-b737-466787b82473,b099dd45-c677-11ed-bdd9-63ccabb05d24,92.50180945,5.407441914,-2.13498425,-1.04412678,2.910664629,84.15139197,2.38472548,-0.31975953,-5.538857896,0.928288187,0.418039569,-11.10551188,8.077556617,16.59019097,13.87553996,1653.655208,492.6677832,95.83714695,-0.555100745,0.285524301,0.781241983,,,,,,,,,,,,,,,,,0.993950712,0,,,medium,high,77.51201548,-53.51895017,55.32,Luke Shliger,shliglu42,Maryland
4,3/19/23,13:01:41,1,4,Kyle McCoy,mccoyky43,Left,Maryland,Jason Bottari,bottaja43,Right,Albany,Windup,1,Top,0,1,2,Changeup,,StrikeSwinging,Strikeout,,,1,0,,85.16842834,-1.032825031,1.277561862,1403.425572,114.7021227,9:45,5.833150533,-2.430912959,7.003723643,-31.00658339,6.777871464,-10.77396097,2.03087064,-2.322953534,78.14323843,-6.767624351,-1.553006545,0.444156312,,,,,,,,,,,,6.287477013,4.012066321,2.340164279,50,5.739410644,-2.446880605,-123.9623782,-3.15232096,9.73443708,25.94149663,-25.96246311,Maryland,Albany,shi01,NCAA D1,BIG10,b1ea7943-3f5e-47cf-b737-466787b82473,b9108ed1-c677-11ed-855e-71736767e2f9,85.3222506,5.829720583,-2.434432261,-0.991986688,1.320221689,78.26673563,2.033854284,-2.320298199,-6.718900909,-1.509470566,0.44402072,-11.18829181,5.022623901,4.018150447,14.42656094,1399.975814,98.34151626,99.75419024,-0.416873491,0.070072484,0.906259532,,,,,,,,,,,,,,,,,0.969452431,1,,,high,high,102.9839087,-25.68651213,54.31627636,Luke Shliger,shliglu42,Maryland
5,3/19/23,13:02:02,2,1,Kyle McCoy,mccoyky43,Left,Maryland,Will Feil,feil-wi43,Left,Albany,Windup,1,Top,1,0,0,Four-Seam,,BallCalled,,,,0,0,,92.15617281,-0.715908885,3.914433203,1688.774354,149.9796823,11:00,6.551272115,-1.949308261,6.91032053,-21.24862361,12.70785683,-6.187864497,4.242812832,0.20021719,82.19925084,-3.690339919,1.774606846,0.41186212,,,,,,,,,,,,4.433322014,7.046808998,1.650781764,50,6.485367268,-8.963399197,-133.8531707,-2.32689549,8.011321582,29.95996235,-19.43997504,Maryland,Albany,shi01,NCAA D1,BIG10,b1ea7943-3f5e-47cf-b737-466787b82473,c58f2273-c677-11ed-b20b-9d1cd1f9066c,92.34095917,6.550511805,-1.951624798,-0.707384576,3.94233867,82.35575917,4.243887119,0.202038298,-3.672189679,1.804419766,0.41172426,-6.471614488,11.39573512,20.41846232,76.11246528,1582.668019,589.16955,93.71696199,-0.811446482,0.348874051,0.468872587,,,,,,,,,,,,,,,,,0.789022533,1,,,high,high,21.49899369,14.22380355,54.40967947,Luke Shliger,shliglu42,Maryland
6,3/19/23,13:02:13,2,2,Kyle McCoy,mccoyky43,Left,Maryland,Will Feil,feil-wi43,Left,Albany,Windup,1,Top,1,1,0,Sinker,,BallCalled,,,,0,0,,90.66850336,-0.131212041,3.629653071,,,,5.893764295,-2.385293498,6.812056663,,,,4.003601818,-0.281202098,82.02149376,-3.777669184,0.71866811,0.418834334,,,,,,,,,,,,4.9585867,2.553488277,2.103343253,50,5.867288292,-8.121973676,-131.7441541,-1.248673185,8.700129129,28.43028615,-27.6938057,Maryland,Albany,shi01,NCAA D1,BIG10,b1ea7943-3f5e-47cf-b737-466787b82473,cbaecc4a-c677-11ed-a775-a9b11734cd80,90.82951323,5.890391741,-2.387572266,-0.090750516,3.657296488,82.1562554,4.006647968,-0.2793924,-3.728323499,0.747802522,0.418710308,-7.512882882,3.171637311,8.176622206,49.32017253,896.612619,128.8304431,98.98343437,-0.381751866,0.142225075,0.913256558,,,,,,,,,,,,,,,,,0.991031817,1,,,high,high,45.61188862,-65.75034451,54.50794334,Luke Shliger,shliglu42,Maryland
7,3/19/23,13:02:23,2,3,Kyle McCoy,mccoyky43,Left,Maryland,Will Feil,feil-wi43,Left,Albany,Windup,1,Top,1,2,0,Sinker,,StrikeCalled,,,,0,0,,92.82033877,-2.059256479,4.705080562,1839.76359,131.1447868,10:15,5.770310029,-2.453527389,6.839517928,-23.03111527,10.98888417,-10.41324941,1.84312453,0.056049906,82.49303468,-6.003929361,1.010667225,0.410041198,,,,,,,,,,,,6.935193528,6.471732971,2.090373344,50,5.596876653,-10.7391605,-134.5905136,-5.566523094,12.67789391,30.1394001,-20.34338564,Maryland,Albany,shi01,NCAA D1,BIG10,b1ea7943-3f5e-47cf-b737-466787b82473,d2133efd-c677-11ed-839f-4d61ad709a1a,92.99899474,5.768984028,-2.457146395,-2.044067788,4.747858241,82.6385232,1.844637524,0.058799879,-5.978825106,1.055617276,0.409911058,-10.83813685,9.621379504,11.23528397,27.82357114,1804.505175,358.4566113,98.08353553,-0.645354441,0.194838409,0.738617384,,,,,,,,,,,,,,,,,0.896381703,1,,,high,high,64.95879198,-69.71170557,54.48048207,Luke Shliger,shliglu42,Maryland
8,3/19/23,13:02:34,2,4,Kyle McCoy,mccoyky43,Left,Maryland,Will Feil,feil-wi43,Left,Albany,Windup,1,Top,1,2,1,Four-Seam,,BallCalled,,,,0,0,,93.57673469,-3.39513629,5.171018891,1847.724044,141.714188,10:45,6.360657357,-1.948791555,7.128055969,-19.16609962,12.49949573,-8.432611614,1.298708733,0.522083749,82.61406835,-7.134283676,1.169211407,0.418155665,,,,,,,,,,,,5.485792014,7.914197699,1.137888875,50,5.738802962,-6.140022189,-131.3012481,-7.937006755,9.542688017,28.72354839,-18.40708224,Maryland,Albany,shi01,NCAA D1,BIG10,b1ea7943-3f5e-47cf-b737-466787b82473,d85ce8b5-c677-11ed-a614-3baeebe7bf77,93.75363443,6.35994498,-1.951568149,-3.386871051,5.204857121,82.76041049,1.299827946,0.524327459,-7.115723152,1.205661209,0.418033401,-8.743169331,11.37610889,8.801666535,56.07898698,1825.965118,282.7287217,98.8223931,-0.775686433,0.153014582,0.612288409,,,,,,,,,,,,,,,,,0.791453435,1,,,high,high,39.52889258,-77.07958776,54.19194403,Luke Shliger,shliglu42,Maryland
9,3/19/23,13:02:45,2,5,Kyle McCoy,mccoyky43,Left,Maryland,Will Feil,feil-wi43,Left,Albany,Windup,1,Top,1,3,1,Sinker,,BallCalled,Walk,,,0,0,,92.7543596,0.133952937,4.179941014,,,,5.846473377,-2.231875976,6.880316343,,,,3.755503369,-0.558402815,82.03258246,-4.357136484,0.307175824,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Albany,shi01,NCAA D1,BIG10,b1ea7943-3f5e-47cf-b737-466787b82473,df3d2e1e-c677-11ed-9e42-9d03a53b99dc,92.90475418,5.842576591,-2.231875976,0.181276513,4.179941014,82.15256411,3.759103835,-0.558402815,-4.298851818,0.307175824,0.421776958,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,54.43968366,Luke Shliger,shliglu42,Maryland
10,3/19/23,13:03:13,3,1,Kyle McCoy,mccoyky43,Left,Maryland,Will Binder,bindewi42,Right,Albany,Stretch,1,Top,1,0,0,Changeup,,StrikeCalled,,,,0,0,,82.19151249,-0.284354402,3.373838211,2008.105329,110.0554625,9:45,5.955244797,-2.360983506,7.26325675,-33.19824129,7.428943474,-14.1893465,2.903689284,-0.061632983,75.38369306,-5.997497311,1.318305659,0.455652774,,,,,,,,,,,,8.96904027,4.040833927,2.293254807,50,5.438156337,-8.045487629,-120.2991742,-0.458229707,13.06900499,24.57239432,-26.28605297,Maryland,Albany,shi01,NCAA D1,BIG10,b1ea7943-3f5e-47cf-b737-466787b82473,ef8a15d4-c677-11ed-ae9a-43d2bfe38725,82.34466753,5.951883395,-2.366384315,-0.244298458,3.439380973,75.50709454,2.906651434,-0.057585888,-5.948507101,1.384727877,0.455528752,-14.78679674,5.584555636,20.14181407,12.08159797,1885.296034,691.4809302,93.88432004,-0.321957131,0.344344951,0.881912785,,,,,,,,,,,,,,,,,0.98518566,1,,,high,high,100.8734501,-14.02676023,54.05674325,Luke Shliger,shliglu42,Maryland
