PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
2,3/11/23,14:01:03,1,1,Nick Dean,dean-ni43,Right,Maryland,Jake Rainess,raineja49,Right,Maine,Windup,1,Top,0,0,0,Four-Seam,,Foul,,,,0,0,,90.63031266,-2.809987242,-2.150425133,2113.770219,215.2563862,1:15,6.274669973,1.937543159,7.43399448,-19.11144888,14.23541456,8.878823597,2.626207621,0.432317174,82.21018985,-4.963871083,-0.453598696,0.414509561,,,,,,,,,,,,-5.548352011,8.723229279,-1.795341177,50,6.075875665,4.696417662,-131.8077507,-7.013333436,-9.709865463,29.38132864,-16.90800617,Maryland,Maine,shi01,NCAA D1,BIG10,7a3f5c49-52ba-48f8-aca2-807c976933ff,12886926-c03f-11ed-bbe8-03ede715ef6a,90.80704456,6.274317006,1.940544875,-2.806382602,-2.186707547,82.36335918,2.626859671,0.430005054,-4.952654963,-0.49146929,0.41437384,9.226570723,12.9809958,-3.196988883,49.5985974,2110.480551,-117.8829221,99.84436964,-0.815306379,-0.055769033,-0.576337855,,,,,,,,,,,,,,,,,0.997136539,1,,,high,high,45.36129459,51.63530138,53.88600552,Luke Shliger,shliglu42,Maryland
3,3/11/23,14:01:20,1,2,Nick Dean,dean-ni43,Right,Maryland,Jake Rainess,raineja49,Right,Maine,Windup,1,Top,0,0,1,Four-Seam,,StrikeCalled,,,,0,0,,91.89710235,-3.049231769,-2.839283524,2192.589684,214.8194561,1:15,6.15170031,1.981464787,7.512864912,-17.72753267,14.47125998,8.850539422,2.124554918,0.505609666,84.78101971,-5.491983035,-0.494742335,0.40840525,,,,,,,,,,,,-5.749782538,8.936600519,-1.796217654,50,5.941497557,6.373262787,-133.5712956,-7.627295104,-10.33639032,30.09655298,-16.10871311,Maryland,Maine,shi01,NCAA D1,BIG10,7a3f5c49-52ba-48f8-aca2-807c976933ff,1cad5963-c03f-11ed-9b06-7550ed254be4,92.07377699,6.151589701,1.984419742,-3.048464231,-2.875665632,84.93563256,2.124938793,0.503329761,-5.485141455,-0.53231597,0.408273749,9.179845358,13.32880622,-5.603592744,89.11330176,2182.111909,-214.0960915,99.5221279,-0.817032246,-0.097645306,-0.568263762,,,,,,,,,,,,,,,,,0.996056327,1,,,high,high,9.797759192,22.06108437,53.80713509,Luke Shliger,shliglu42,Maryland
4,3/11/23,14:01:35,1,3,Nick Dean,dean-ni43,Right,Maryland,Jake Rainess,raineja49,Right,Maine,Windup,1,Top,0,0,2,Four-Seam,,BallCalled,,,,0,0,,92.5347518,-1.849894592,-3.862018225,2107.46049,214.5661983,1:15,6.236359626,1.875150404,7.386125213,-17.84108946,14.08592777,8.497516168,3.409812383,-0.910140406,84.79195016,-4.072959917,-1.981805121,0.406678016,,,,,,,,,,,,-5.831987737,8.335601313,-1.613226885,50,6.101368972,8.826577401,-134.4494328,-4.876647567,-10.62222804,30.49990274,-16.99180608,Maryland,Maine,shi01,NCAA D1,BIG10,7a3f5c49-52ba-48f8-aca2-807c976933ff,25bcdd68-c03f-11ed-8da0-f3239577e739,92.71441013,6.236219673,1.877963764,-1.848678825,-3.897038381,84.94923753,3.410240988,-0.91233962,-4.065274854,-2.018202382,0.406546032,8.815705475,12.94547136,-8.423629444,98.44281168,2084.725212,-308.7240049,98.92120023,-0.81458762,-0.146491005,-0.561237379,,,,,,,,,,,,,,,,,0.99747598,1,,,high,high,1.399837257,79.06724986,53.93387479,Luke Shliger,shliglu42,Maryland
5,3/11/23,14:01:51,1,4,Nick Dean,dean-ni43,Right,Maryland,Jake Rainess,raineja49,Right,Maine,Windup,1,Top,0,1,2,Changeup,,BallCalled,,,,0,0,,83.08712242,-3.536686677,-2.52843177,1648.356578,232.9288616,1:45,6.222228935,1.631601673,7.608672942,-29.45915475,9.765391339,10.94797095,0.532060121,0.234698345,76.31701739,-9.113730154,-0.431457466,0.450765309,,,,,,,,,,,,-6.837559715,6.47173037,-1.47193102,50,5.981284776,5.057554739,-120.763322,-8.211413967,-10.05722013,24.39221798,-22.65492,Maryland,Maine,shi01,NCAA D1,BIG10,7a3f5c49-52ba-48f8-aca2-807c976933ff,2ee5ea3a-c03f-11ed-aaf9-05873a54b47e,83.23370853,6.219324049,1.634589174,-3.50181264,-2.565049575,76.44431344,0.535431628,0.23174472,-9.06749425,-0.472314822,0.45063032,11.27852987,8.109550662,14.95588814,86.65080636,1592.518175,425.4001302,96.61248034,-0.582385968,0.258075307,-0.77085908,,,,,,,,,,,,,,,,,0.99640883,1,,,high,medium,12.01425463,72.86016876,53.71132706,Luke Shliger,shliglu42,Maryland
6,3/11/23,14:02:07,1,5,Nick Dean,dean-ni43,Right,Maryland,Jake Rainess,raineja49,Right,Maine,Windup,1,Top,0,2,2,Four-Seam,,StrikeCalled,Strikeout,,,1,0,,91.56971784,-2.423109796,-3.468676634,2164.482818,212.7481544,1:00,6.24425783,1.908202182,7.387423859,-17.86304889,14.7339954,8.25702174,2.667870977,-0.652765091,84.05293933,-5.018457989,-1.714517516,0.410923174,,,,,,,,,,,,-5.583538189,8.8622491,-1.673369607,50,6.069889531,7.824993973,-133.0565368,-6.160203828,-9.960237487,29.86712374,-16.36505846,Maryland,Maine,shi01,NCAA D1,BIG10,7a3f5c49-52ba-48f8-aca2-807c976933ff,387c79ee-c03f-11ed-9cd8-6b7dec4319fb,91.74919628,6.244210112,1.911041953,-2.423143764,-3.503501934,84.20986888,2.668242008,-0.65497037,-5.01176551,-1.750650869,0.410787975,8.573043021,13.58087613,-9.537372166,91.83408315,2134.564766,-358.6350932,98.61777363,-0.829431134,-0.165690894,-0.533470263,,,,,,,,,,,,,,,,,0.997821301,1,,,high,high,7.349043113,40.55009105,53.93257614,Luke Shliger,shliglu42,Maryland
7,3/11/23,14:02:34,2,1,Nick Dean,dean-ni43,Right,Maryland,Quinn Mcdaniel,mcdanqu43,Right,Maine,Windup,1,Top,1,0,0,Four-Seam,,StrikeCalled,,,,0,0,,93.63832208,-2.319841019,-3.007063629,2184.593119,214.2537542,1:15,6.173264726,1.968443267,7.496581016,-16.75717412,14.25499363,8.554839811,2.722331391,-0.713498794,85.14840427,-4.838044449,-2.209798515,0.400809111,,,,,,,,,,,,-5.634398749,8.600240684,-1.771070535,50,6.011350226,6.90410479,-136.1572665,-6.010091068,-10.52211637,31.34822966,-16.1132883,Maryland,Maine,shi01,NCAA D1,BIG10,7a3f5c49-52ba-48f8-aca2-807c976933ff,4889ad51-c03f-11ed-9bf7-5d06bef757fd,93.82006242,6.173298398,1.971357999,-2.320837527,-3.042639064,85.30514312,2.722660796,-0.715750847,-4.832043339,-2.246599496,0.400679095,8.877103814,13.16044134,-6.968091407,86.988841,2168.457425,-265.0273368,99.26138678,-0.820447842,-0.121316567,-0.558701735,,,,,,,,,,,,,,,,,0.99760679,1,,,high,high,11.70982188,35.6031783,53.82341898,Luke Shliger,shliglu42,Maryland
8,3/11/23,14:02:49,2,2,Nick Dean,dean-ni43,Right,Maryland,Quinn Mcdaniel,mcdanqu43,Right,Maine,Windup,1,Top,1,0,1,Four-Seam,,BallCalled,,,,0,0,,92.8453927,-1.596434297,-2.977843993,2196.461239,215.9224794,1:15,6.241080219,1.995848652,7.465589464,-17.4150291,14.15761374,9.09055164,3.586379886,-0.222066832,84.05358226,-4.016438608,-1.289623339,0.404414754,,,,,,,,,,,,-5.924242591,8.32906028,-1.799090297,50,6.126331068,6.761993435,-135.0540656,-4.273918303,-10.87759211,31.02421265,-16.88093506,Maryland,Maine,shi01,NCAA D1,BIG10,7a3f5c49-52ba-48f8-aca2-807c976933ff,51b0ab4a-c03f-11ed-896c-47ff6624f4cb,93.02702404,6.241018304,1.998911876,-1.596293382,-3.015245578,84.20962738,3.58680058,-0.224412657,-4.008907764,-1.328485872,0.404281646,9.429006056,13.01217644,-4.839896185,97.84153052,2188.62943,-185.3191719,99.64343511,-0.806924017,-0.084371701,-0.584598192,,,,,,,,,,,,,,,,,0.997749881,1,,,high,high,1.941309038,-2.805844318,53.85441054,Luke Shliger,shliglu42,Maryland
9,3/11/23,14:03:07,2,3,Nick Dean,dean-ni43,Right,Maryland,Quinn Mcdaniel,mcdanqu43,Right,Maine,Windup,1,Top,1,1,1,Four-Seam,,BallCalled,,,,0,0,,91.22353425,-1.740939209,-3.979621251,2158.873983,213.6700411,1:00,6.293710891,2.059523755,7.424675701,-18.18984648,14.6247316,8.574707866,3.828877409,-0.499988302,83.50862797,-3.527271701,-2.023160102,0.412292025,,,,,,,,,,,,-5.919381418,8.615103327,-1.792135596,50,6.167376218,8.974442791,-132.5399296,-4.560664328,-10.47442961,29.71272898,-16.92950172,Maryland,Maine,shi01,NCAA D1,BIG10,7a3f5c49-52ba-48f8-aca2-807c976933ff,5c6f1b85-c03f-11ed-abd7-5fd63a16a5f8,91.40393395,6.293614096,2.062419991,-1.740324382,-4.015166966,83.66686625,3.829272942,-0.502219229,-3.520113334,-2.060060777,0.412156433,8.897801337,13.44904697,-7.051471648,92.78824839,2142.544843,-265.0254184,99.24362697,-0.825949256,-0.122760949,-0.550215936,,,,,,,,,,,,,,,,,0.997890207,1,,,high,high,6.490114419,-6.223163955,53.8953243,Luke Shliger,shliglu42,Maryland
10,3/11/23,14:03:23,2,4,Nick Dean,dean-ni43,Right,Maryland,Quinn Mcdaniel,mcdanqu43,Right,Maine,Windup,1,Top,1,2,1,Changeup,,StrikeCalled,,,,0,0,,82.73496396,-1.739971773,-1.872181195,1676.572931,233.9606082,1:45,6.326577607,1.728498736,7.707297025,-29.98561063,9.301238926,10.80518869,2.682800764,0.725767053,75.56750212,-6.023527591,0.016291897,0.451123161,,,,,,,,,,,,-6.595580501,5.715307116,-1.614362442,50,6.205802625,3.674058999,-120.4922094,-4.396270061,-9.64908764,24.47904062,-23.81276899,Maryland,Maine,shi01,NCAA D1,BIG10,7a3f5c49-52ba-48f8-aca2-807c976933ff,65d31607-c03f-11ed-ba44-6927a5e68eb1,82.88261766,6.323549308,1.731167453,-1.703187462,-1.905208048,75.69157966,2.685593176,0.723641009,-5.977883796,-0.018409703,0.450987132,11.10210454,7.591126752,23.28736057,77.85090227,1539.988595,662.8211832,91.85336148,-0.540411284,0.395342887,-0.742737939,,,,,,,,,,,,,,,,,0.996654763,1,,,high,high,19.93417164,-89.0032536,53.61270298,Luke Shliger,shliglu42,Maryland
11,3/11/23,14:03:39,2,5,Nick Dean,dean-ni43,Right,Maryland,Quinn Mcdaniel,mcdanqu43,Right,Maine,Windup,1,Top,1,2,2,Four-Seam,,StrikeSwinging,Strikeout,,,1,0,,92.23046951,-1.672119838,-2.244984672,2173.91481,212.0689294,1:00,6.173773823,2.027946438,7.459628795,-17.27979005,14.69244545,8.141000607,3.494519267,0.576445362,83.84479965,-3.908751497,-0.356260198,0.406965903,,,,,,,,,,,,-5.180889651,8.647279312,-1.879976335,50,6.053849953,5.027315294,-134.2302547,-4.419956186,-9.395510118,30.6899829,-16.49226407,Maryland,Maine,shi01,NCAA D1,BIG10,7a3f5c49-52ba-48f8-aca2-807c976933ff,6fa0cb3a-c03f-11ed-b840-07fb01f0ffb7,92.41379031,6.173834032,2.030771481,-1.673462266,-2.279276886,84.00413134,3.494846108,0.574252495,-3.902873605,-0.392041811,0.406830489,8.451651437,13.53789106,-6.439331968,95.20980705,2160.199939,-243.8069396,99.36911646,-0.842063796,-0.112151101,-0.527589513,,,,,,,,,,,,,,,,,0.997492147,1,,,high,high,4.310550122,54.68930898,53.8603712,Luke Shliger,shliglu42,Maryland
