PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,3/10/23,19:01:24,1,1,Jason Savacool,savacja42,Right,Maryland,Jake Rainess,raineja49,Right,Maine,Windup,1,Top,0,0,0,Sinker,,StrikeSwinging,,,,,,,91.86109189,-1.478256439,-3.214395077,2180.327626,236.4265165,2:00,5.934640397,2.724488438,6.456152007,-23.14036991,10.4245113,12.60491906,2.470403196,1.183230266,81.59421235,-5.648460184,0.673306531,0.4169789,,,,,,,,,,,,-7.692363338,6.014462308,-2.459299665,50,5.794296805,7.051688398,-133.3762053,-4.252936302,-13.77847784,30.1967367,-21.40100988,Maryland,Maine,shi01,NCAA D1,BIG10,12d779a6-2eab-4d14-b4cc-4bd63dfe0293,dd6476bd-bf9f-11ed-b63e-73e7469bff81,92.03955739,5.933243629,2.729184219,-1.462151741,-3.27062727,81.74068438,2.472092311,1.179485827,-5.621154897,0.613487538,0.416844584,13.12503247,9.055342065,-20.47189284,19.41915731,2042.62658,-762.5648906,93.6843874,-0.518080296,-0.349747846,-0.780557013,,,,,,,,,,,,,,,,,0.997369476,1,,,high,high,72.52274702,6.407444511,54.86384799,Luke Shliger,shliglu42,Maryland
2,3/10/23,19:01:38,1,2,Jason Savacool,savacja42,Right,Maryland,Jake Rainess,raineja49,Right,Maine,Windup,1,Top,0,0,1,Slider,,BallCalled,,,,0,0,,84.97500208,-2.60678315,-4.309228377,2656.844865,15.09503097,6:30,6.035881215,2.464017949,6.476265769,-40.99805298,-1.661074332,-4.393705856,0.180033555,-1.927979625,78.28598702,-10.17137514,-5.129352886,0.45141088,,,,,,,,,,,,1.086511476,-0.122222917,-2.096273738,50,5.788998937,9.419937126,-123.1435838,-6.936032328,1.659521229,25.66778648,-32.36073102,Maryland,Maine,shi01,NCAA D1,BIG10,12d779a6-2eab-4d14-b4cc-4bd63dfe0293,e55eae1e-bf9f-11ed-b12e-3385a7c13f11,85.09040956,6.029144613,2.467855786,-2.526214956,-4.356080337,78.37556695,0.187160473,-1.931419915,-10.07720079,-5.17471155,0.451307668,-3.953772859,-3.780811169,-77.49034597,0.447480071,575.48349,-2593.770111,21.66040997,0.209130223,-0.976259527,0.056408208,,,,,,,,,,,,,,,,,0.994939765,1,,,high,medium,90.40273169,42.06310275,54.84373423,Luke Shliger,shliglu42,Maryland
3,3/10/23,19:01:54,1,3,Jason Savacool,savacja42,Right,Maryland,Jake Rainess,raineja49,Right,Maine,Windup,1,Top,0,1,1,Sinker,,InPlay,,LineDrive,Single,0,0,,92.80696896,-2.645406651,-3.714297819,,,,5.859424911,2.684665064,6.519720743,,,,1.707369172,0.761941025,84.15401358,-6.063554489,-0.206605164,,101.4805885,13.68062979,4.153292841,,,,,238.8905477,,3.976378772,2.05973267,,,,,,,,,,,,Maryland,Maine,shi01,NCAA D1,BIG10,12d779a6-2eab-4d14-b4cc-4bd63dfe0293,ef125a63-bf9f-11ed-81ff-29d47b001784,92.95402474,5.855283365,2.684665064,-2.59675374,-3.714297819,84.27474278,1.71085671,0.761941025,-6.007394124,-0.206605164,0.411483558,,,,,,,,,,,7.141229968,98.34255382,24.00114122,-0.785347336,-1.092376648,1.37648106,16.56591374,238.3154722,,,,,,,,,,1,,58.57467616,high,high,,,54.80027926,Luke Shliger,shliglu42,Maryland
4,3/10/23,19:02:31,2,1,Jason Savacool,savacja42,Right,Maryland,Quinn Mcdaniel,mcdanqu43,Right,Maine,Stretch,1,Top,0,0,0,Curveball,,BallCalled,,,,0,0,,79.23552991,1.871479838,-0.061392362,2417.61148,26.46579887,7:00,6.442042121,2.161057928,6.296335717,-57.52519757,-11.95008662,-7.934380663,3.334223207,1.158522345,71.44959485,-8.816944338,-1.52740775,0.490561515,,,,,,,,,,,,4.237165558,-7.011905349,-1.842315711,50,6.390437388,0.301311281,-114.0059962,2.378752264,5.504757273,23.47992654,-41.28363864,Maryland,Maine,shi01,NCAA D1,BIG10,12d779a6-2eab-4d14-b4cc-4bd63dfe0293,04db7d6b-bfa0-11ed-9ff9-3f58a7c29de0,79.32195192,6.430022057,2.162079709,2.01627934,-0.074092321,71.48527929,3.343677749,1.157844413,-8.667833913,-1.53803364,0.490488077,-7.813714547,-15.18437073,-40.14493156,23.76718349,1848.060988,-1558.690429,76.44160376,0.684305655,-0.644723291,0.340672348,,,,,,,,,,,,,,,,,0.981039858,1,,,high,high,111.3904412,21.11326586,55.02366428,Luke Shliger,shliglu42,Maryland
5,3/10/23,19:02:49,2,2,Jason Savacool,savacja42,Right,Maryland,Quinn Mcdaniel,mcdanqu43,Right,Maine,Stretch,1,Top,0,1,0,Sinker,,InPlay,,Popup,Out,1,0,,91.97772787,-0.936014667,-2.820145013,2040.381377,232.3972318,1:45,5.913371461,2.485578698,6.535833672,-22.916217,10.40269175,10.75719871,2.952912965,0.940519028,82.48776792,-4.974946865,0.186268179,0.415448224,74.30406385,58.79084124,19.31707059,,35.65250877,104.0619941,108.5064172,220.1050284,,19.11457743,5.166984728,-6.59739044,5.856017379,-2.25651028,50,5.821047609,6.213049683,-133.644559,-2.975118663,-11.8724988,30.14425865,-21.6357072,Maryland,Maine,shi01,NCAA D1,BIG10,12d779a6-2eab-4d14-b4cc-4bd63dfe0293,0fe1e8d7-bfa0-11ed-b1f9-af28fb8f2056,92.16083435,5.911975304,2.4899184,-0.920359566,-2.871019264,82.6382539,2.954482665,0.937230174,-4.949267589,0.133370935,0.415310881,11.22702218,9.061026248,-27.90357143,16.39378404,1803.159413,-954.8676855,88.37364587,-0.539241354,-0.467984905,-0.700149191,12.73618233,36.33412085,63.5508869,-0.825763693,-0.303151543,2.976055556,72.0752198,207.9696762,,,,,,,,,0.997647768,1,,32.36826526,high,high,75.24558421,-3.413121107,54.78416633,Luke Shliger,shliglu42,Maryland
6,3/10/23,19:03:22,3,1,Jason Savacool,savacja42,Right,Maryland,Jeremiah Jenkins,jenkije48,Left,Maine,Stretch,1,Top,1,0,0,Curveball,,BallCalled,,,,0,0,,79.90860367,2.849757056,0.05402897,2476.385521,35.65803954,7:15,6.470056523,2.148844839,6.308525586,-55.71256434,-9.848663853,-9.629571908,4.42517999,0.715205463,71.73656493,-7.283507136,-2.86260986,0.481615888,,,,,,,,,,,,5.101769574,-6.291433195,-2.147233386,50,6.683035492,0.185327103,-116.0233794,4.078583672,6.87649954,23.97382713,-40.65405576,Maryland,Maine,shi01,NCAA D1,BIG10,12d779a6-2eab-4d14-b4cc-4bd63dfe0293,2402b98a-bfa0-11ed-bd46-6381c389711f,80.00388587,6.458870317,2.149486992,2.986753185,0.045731564,71.78423079,4.434276573,0.714773167,-7.139320235,-2.86919662,0.48152996,-9.526651748,-13.08566944,-44.54523174,14.51957498,1764.91227,-1737.115405,71.26968943,0.579073827,-0.701472121,0.415464037,,,,,,,,,,,,,,,,,0.996986884,1,,,high,high,76.93238519,56.7130713,55.01147441,Luke Shliger,shliglu42,Maryland
7,3/10/23,19:03:47,3,2,Jason Savacool,savacja42,Right,Maryland,Jeremiah Jenkins,jenkije48,Left,Maine,Stretch,1,Top,1,1,0,Curveball,,BallCalled,,Throwdown,,0,0,,81.1147339,0.146335597,-1.654263112,2480.646844,25.68063027,6:45,6.36620794,2.001043788,6.331095525,-53.33069297,-9.926156922,-7.50845949,1.615499336,-0.643319618,72.8794707,-10.42887722,-3.695983346,0.474175468,,,,,,,,,,,,3.48652721,-5.343819358,-1.852020813,50,6.343856195,3.638457135,-117.8628219,-1.364697736,4.842328815,25.04789872,-39.59591349,Maryland,Maine,shi01,NCAA D1,BIG10,12d779a6-2eab-4d14-b4cc-4bd63dfe0293,333c0b68-bfa0-11ed-b1bf-7bb4e7adec2a,81.20652087,6.355545261,2.00293493,0.275675155,-1.677761099,72.92194882,1.624108566,-0.644646959,-10.2928057,-3.717115093,0.474087457,-7.286778182,-12.9155836,-50.26248791,27.73438443,1585.8066,-1907.570757,63.92714077,0.576126463,-0.768981188,0.277031101,,,,,,,,,,,,,,,,,0.96143714,1,,,high,high,114.9609162,19.5726986,54.98890448,Luke Shliger,shliglu42,Maryland
8,3/10/23,19:04:24,3,3,Jason Savacool,savacja42,Right,Maryland,Jeremiah Jenkins,jenkije48,Left,Maine,Stretch,1,Top,1,2,0,Sinker,,StrikeCalled,,,,0,0,,92.0808412,-1.927876339,-2.687431848,2106.835232,232.9278322,1:45,5.815888006,2.633683839,6.589395454,-22.64186186,10.55082007,11.0601872,2.07794461,1.47996627,83.33593461,-5.732685153,1.004047737,0.414660526,,,,,,,,,,,,-6.73138158,6.235994844,-2.418285448,50,5.642862043,5.901119429,-133.7643883,-5.28062277,-12.13677581,30.16702311,-20.93046304,Maryland,Maine,shi01,NCAA D1,BIG10,12d779a6-2eab-4d14-b4cc-4bd63dfe0293,48bced70-bfa0-11ed-95e8-251de4de0f62,92.2613316,5.81454699,2.638124597,-1.912836921,-2.739351217,83.48424275,2.079411215,1.476685077,-5.708593665,0.950789756,0.414524038,11.5382336,9.227137147,-27.03595069,20.25096867,1876.603411,-957.6608656,89.0721487,-0.536945154,-0.454549483,-0.710686055,,,,,,,,,,,,,,,,,0.995544282,1,,,high,high,71.77413727,-6.122292953,54.73060455,Luke Shliger,shliglu42,Maryland
9,3/10/23,19:04:41,3,4,Jason Savacool,savacja42,Right,Maryland,Jeremiah Jenkins,jenkije48,Left,Maine,Stretch,1,Top,1,2,1,Sinker,,StrikeCalled,,,,0,0,,92.79897556,-1.775966336,-2.987059564,2210.396773,232.3262019,1:45,5.902471953,2.67694777,6.358650519,-22.01238825,10.98007207,11.28084007,2.334231483,1.141484464,83.63847434,-5.509049323,0.486240027,0.413407998,,,,,,,,,,,,-6.889538663,6.375043048,-2.425454986,50,5.733995447,6.627027102,-134.7311275,-4.970404929,-12.60018959,30.6466436,-20.51481448,Maryland,Maine,shi01,NCAA D1,BIG10,12d779a6-2eab-4d14-b4cc-4bd63dfe0293,52f2b14f-bfa0-11ed-b983-970895edc87e,92.98248553,5.901363822,2.681447052,-1.763544048,-3.04011464,83.79075523,2.335579169,1.138041722,-5.487060561,0.43105292,0.413271336,11.77182234,9.679580697,-28.60260117,22.96343291,1940.642692,-1058.187051,87.79612402,-0.536579306,-0.478731721,-0.69490905,,,,,,,,,,,,,,,,,0.996770237,1,,,high,high,69.33289224,1.050786475,54.96134948,Luke Shliger,shliglu42,Maryland
10,3/10/23,19:04:59,3,5,Jason Savacool,savacja42,Right,Maryland,Jeremiah Jenkins,jenkije48,Left,Maine,Stretch,1,Top,1,2,2,Splitter,,InPlay,,GroundBall,Out,1,0,,87.84886397,-0.719278345,-2.619727103,1916.050106,229.3092229,1:45,6.171300936,2.470988629,6.523358953,-28.28164584,8.044554236,5.813822085,2.585336009,0.571122239,80.51170667,-6.721727389,-1.190489549,0.434420821,,,,,,,,,,,,-3.970709627,4.541892405,-2.255240409,50,6.093500574,5.643849303,-127.697,-2.541252209,-6.542641537,26.81287115,-24.69025533,Maryland,Maine,shi01,NCAA D1,BIG10,12d779a6-2eab-4d14-b4cc-4bd63dfe0293,609f583a-bfa0-11ed-8ef9-89b3f3fcdb04,88.01819507,6.168854048,2.474586999,-0.689973831,-2.663929156,80.65118437,2.587751128,0.56837724,-6.68260517,-1.23470332,0.434280871,6.246409392,6.547536894,-58.61662132,9.653581135,997.806066,-1635.735634,52.07619898,-0.339524506,-0.853701909,-0.394862204,,,,,,,,,,,,,,,,,0.996821566,1,,,high,high,81.31177853,-35.95555557,54.79664105,Luke Shliger,shliglu42,Maryland
